區段,地段,地號,面積_m2,外接矩形_短邊_m,外接矩形_長邊_m,矩形度,形狀判讀,臨路邊數,臨路道路數,"臨街判讀(候選,8m門檻)",臨路道路(8m門檻),臨路道路數@6m/8m/10m,臨路總長_m,25m內道路(名稱/類別/距中心線m),中心點_lon,中心點_lat,頂點數,來源
P001-00 比準地,樹德段,1415,25.44,2.3,17.91,0.617,長條形,7,2,兩條路名（路角地或雙面，待看圖）,啟智街187巷 12.1m；啟智街 24.6m,2/2/2,36.66,啟智街187巷/巷道/0.15；啟智街187巷/巷道/0.25；啟智街187巷/巷道/1.81；啟智街/巷道/2.41；啟智街/巷道/3.0；啟智街/巷道/4.68；啟智街/巷道/5.05,121.415283,24.987296,7,twland.ronny.tw（easymap 2015 地籍）＋ OSM Overpass 2026-09-12
P002-00 比較1,樹德段,284,119.09,11.05,13.77,0.783,不規則形（矩形度<0.85）,16,2,兩條路名（路角地或雙面，待看圖）,啟智街 32.0m；長壽街21巷 11.4m,2/2/2,43.41,啟智街/巷道/0.35；啟智街/巷道/0.76；長壽街21巷/巷道/2.0；長壽街21巷/巷道/2.06；長壽街21巷/巷道/2.19；長壽街21巷/巷道/2.37；長壽街21巷/巷道/2.61；長壽街21巷/巷道/2.91；長壽街21巷/巷道/3.25；啟智街/巷道/3.52；長壽街21巷/巷道/3.64；長壽街21巷/巷道/4.09；長壽街21巷/巷道/4.55；長壽街21巷/巷道/5.05；啟智街/巷道/5.15；長壽街21巷/巷道/5.59,121.421077,24.993788,16,twland.ronny.tw（easymap 2015 地籍）＋ OSM Overpass 2026-09-12
P003-00 比較2,太平段,367,112.99,7.18,17.02,0.924,方形／梯形（矩形度≥0.85）,2,1,單面臨街候選,鎮前街367巷4弄 7.5m,0/1/1,7.52,鎮前街367巷4弄/巷道/6.95；鎮前街367巷4弄/巷道/7.64；鎮前街367巷4弄/巷道/10.92；鎮前街367巷4弄/巷道/11.66；東榮街88巷/巷道/19.46,121.41611,24.982888,5,twland.ronny.tw（easymap 2015 地籍）＋ OSM Overpass 2026-09-12
P003-00 比較2,太平段,917,3.09,1.31,4.72,0.5,畸零地（面積<10m²）,3,1,單面臨街候選,鎮前街367巷4弄 10.6m,0/1/1,10.62,鎮前街367巷4弄/巷道/6.01；鎮前街367巷4弄/巷道/6.26；鎮前街367巷4弄/巷道/6.95,121.416093,24.982959,3,twland.ronny.tw（easymap 2015 地籍）＋ OSM Overpass 2026-09-12
P004-00 比較3,文林段,317,703.68,13.84,58.52,0.869,方形／梯形（矩形度≥0.85）,20,3,三條以上路名（待看圖）,潭興街107巷21弄 4.5m；潭興街 65.7m；潭興街91巷1弄 41.4m,3/3/3,111.54,潭興街91巷1弄/巷道/0.05；潭興街/巷道/1.05；潭興街/巷道/1.56；潭興街/巷道/1.61；潭興街/巷道/1.73；潭興街/巷道/1.9；潭興街/巷道/2.12；潭興街/巷道/2.4；潭興街/巷道/2.42；潭興街/巷道/2.74；潭興街/巷道/3.12；潭興街/巷道/3.53；潭興街/巷道/3.98；潭興街/巷道/4.47；潭興街107巷21弄/巷道/4.91；潭興街107巷21弄/巷道/4.97；潭興街/巷道/4.98；潭興街107巷21弄/巷道/5.02；潭興街91巷1弄/巷道/6.85；潭興街91巷1弄/巷道/7.63；潭興街/巷道/8.53；潭興街107巷21弄/巷道/8.98；潭興街/巷道/10.96；潭興街/巷道/13.06；潭興街/巷道/13.42,121.42402,24.998409,25,twland.ronny.tw（easymap 2015 地籍）＋ OSM Overpass 2026-09-12
P003-00 合併(367+917),太平段,367+917,116.06,7.18,17.02,0.949,方形／梯形（矩形度≥0.85）,,,,,,,,121.416109,24.98289,,shapely unary_union（EPSG:3826）合併兩筆共邊多邊形
